"";"created_at";"id";"id_str";"full_text";"truncated";"display_text_range";"entities";"metadata";"tweet_source";"in_reply_to_status_id";"in_reply_to_status_id_str";"in_reply_to_user_id";"in_reply_to_user_id_str";"in_reply_to_screen_name";"geo";"coordinates";"place";"contributors";"is_quote_status";"retweet_count";"favorite_count";"favorited";"retweeted";"lang";"possibly_sensitive";"quoted_status_id";"quoted_status_id_str";"quoted_status";"text";"favorited_by";"scopes";"display_text_width";"retweeted_status";"quoted_status_permalink";"quote_count";"timestamp_ms";"reply_count";"filter_level";"query";"withheld_scope";"withheld_copyright";"withheld_in_countries";"possibly_sensitive_appealable";"id_user";"id_str_user";"name_user";"screen_name_user";"location_user";"description_user";"url_user";"protected_user";"followers_count_user";"friends_count_user";"listed_count_user";"created_at_user";"favourites_count_user";"verified_user";"statuses_count_user";"profile_image_url_https_user";"profile_banner_url_user";"default_profile_user";"default_profile_image_user";"withheld_in_countries_user";"derived_user";"withheld_scope_user";"entities_user";"tweet_link";"polarity";"dimension";"competitor_id"
"1";"2022-07-08 11:10:54";"1545364798073933824";"1545364798073933824";"@iberdrola @SEFutbolFem @FutFemIberdrola Juntos por #ElSueñoEuropeo 🔥🔥🔥";"FALSE";"71";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[52,67]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""es"",""result_type"":""recent""}]";"iPhone";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"es";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola Juntos por #ElSueñoEuropeo 🔥🔥🔥";;;;;;;;;;;;;;;"1888193450";"1888193450";"Lidia A.D";"7Lidia7";"Sevillana y Sevillista";"";;"FALSE";"1021";"1807";"3";"Fri Sep 20 23:39:15 +0000 2013";"58058";"FALSE";"12449";"https://pbs.twimg.com/profile_images/1308858807678795776/5ied222w_normal.jpg";"https://pbs.twimg.com/profile_banners/1888193450/1463691253";"FALSE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""indices"":[null],""unwound"":[null]}]}";"https://twitter.com/7Lidia7/status/1545364798073933824";;;"1e+05"
"2";"2022-07-08 11:10:43";"1545364752293142528";"1545364752293142528";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo de tod@s con @iberdrola siempre";"FALSE";"88";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[41,56]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}},{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":70,""end"":80}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""es"",""result_type"":""recent""}]";"Android";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"es";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo de tod@s con @iberdrola siempre";;;;;;;;;;;;;;;"188694424";"188694424";"OScarGArciaMA";"osgama10";"osgamarquitecturAT";"De Miranda y Mirandés
Que no os confundan, nos tocará sufrir, pero el equipo del pueblo, partido a partido, logrará algo muy grande";"https://t.co/jmaficiPO0";"FALSE";"155";"1338";"3";"Thu Sep 09 10:57:32 +0000 2010";"5078";"FALSE";"3592";"https://pbs.twimg.com/profile_images/1324599435649814528/dKf0ntSg_normal.jpg";"https://pbs.twimg.com/profile_banners/188694424/1392641490";"FALSE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""url"":""https://t.co/jmaficiPO0"",""expanded_url"":""http://www.osgama.com"",""display_url"":""osgama.com"",""indices"":{""start"":0,""end"":23}}]}";"https://twitter.com/osgama10/status/1545364752293142528";;;"1e+05"
"3";"2022-07-08 11:10:36";"1545364726665936896";"1545364726665936897";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo";"FALSE";"56";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[41,56]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""und"",""result_type"":""recent""}]";"Android";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"und";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo";;;;;;;;;;;;;;;"1423265892947972096";"1423265892947972103";"Laura";"LAURAgm____";"Teruel-Alacant";"▫️Pedagogía y Orientación, estudiante de psicología🌱▫️Deporte y Fútbol Femenino  @FCBfemeni ▫️Enamorada del Arte 🎨";;"FALSE";"75";"582";"0";"Thu Aug 05 12:54:15 +0000 2021";"15061";"FALSE";"2464";"https://pbs.twimg.com/profile_images/1423610309168795650/zUTwxbrb_normal.jpg";"https://pbs.twimg.com/profile_banners/1423265892947972103/1628192828";"TRUE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""indices"":[null],""unwound"":[null]}]}";"https://twitter.com/LAURAgm____/status/1545364726665936897";;;"1e+05"
"4";"2022-07-08 11:10:27";"1545364685268058112";"1545364685268058112";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo";"FALSE";"56";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[41,56]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""und"",""result_type"":""recent""}]";"iPhone";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"und";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo";;;;;;;;;;;;;;;"3543280455";"3543280455";"Carla 🌹";"snixx_wanky";"Westeros";"Professional fangirl";;"FALSE";"93";"392";"6";"Fri Sep 04 09:31:21 +0000 2015";"854";"FALSE";"6129";"https://pbs.twimg.com/profile_images/1544417414535958530/OEnSzW6Q_normal.jpg";"https://pbs.twimg.com/profile_banners/3543280455/1482427669";"TRUE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""indices"":[null],""unwound"":[null]}]}";"https://twitter.com/snixx_wanky/status/1545364685268058112";;;"1e+05"
"5";"2022-07-08 11:10:17";"1545364644088451072";"1545364644088451072";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo";"FALSE";"56";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[41,56]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""und"",""result_type"":""recent""}]";"Android";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"und";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo";;;;;;;;;;;;;;;"1332106986100551680";"1332106986100551680";"eva";"keeptrying96";"Bruxelles/Madrid";"she/her";;"FALSE";"184";"156";"0";"Thu Nov 26 23:41:10 +0000 2020";"20171";"FALSE";"4411";"https://pbs.twimg.com/profile_images/1523765009247051777/M0RIAOa2_normal.jpg";"https://pbs.twimg.com/profile_banners/1332106986100551680/1613404231";"TRUE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""indices"":[null],""unwound"":[null]}]}";"https://twitter.com/keeptrying96/status/1545364644088451072";;;"1e+05"
"6";"2022-07-08 11:10:15";"1545364635519434752";"1545364635519434752";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo";"FALSE";"56";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[41,56]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""und"",""result_type"":""recent""}]";"iPhone";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"und";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo";;;;;;;;;;;;;;;"107792983";"107792983";"Elena R";"rubio_elena";"España, Madrid";"Vive el momento porque cada segundo que malgastes enfadado o triste es un segundo de felicidad que jamás podrás recuperar.";;"FALSE";"87";"270";"3";"Sat Jan 23 19:16:02 +0000 2010";"41902";"FALSE";"30431";"https://pbs.twimg.com/profile_images/1485236685432569857/Rf8cWbAo_normal.jpg";"https://pbs.twimg.com/profile_banners/107792983/1563131148";"FALSE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""indices"":[null],""unwound"":[null]}]}";"https://twitter.com/rubio_elena/status/1545364635519434752";;;"1e+05"
"7";"2022-07-08 11:10:14";"1545364633057361920";"1545364633057361920";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo vamosss arribaaaa";"FALSE";"74";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[41,56]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""es"",""result_type"":""recent""}]";"Android";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"es";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo vamosss arribaaaa";;;;;;;;;;;;;;;"1437338124917608448";"1437338124917608450";"Silvia_k26";"Silvia77698998";"";"Yo misma";;"FALSE";"176";"1269";"0";"Mon Sep 13 08:51:39 +0000 2021";"3487";"FALSE";"6545";"https://pbs.twimg.com/profile_images/1524425305934471171/x2OGyg0s_normal.jpg";;"TRUE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""indices"":[null],""unwound"":[null]}]}";"https://twitter.com/Silvia77698998/status/1545364633057361920";;;"1e+05"
"8";"2022-07-08 11:09:49";"1545364525553258496";"1545364525553258498";"La #UGR, el @AytoPinosPuente y la Fundación @iberdrola crean una cátedra para la investigación arqueológica del Cerro de los Infantes

https://t.co/YoVgsl1ol2";"FALSE";"158";"{""hashtags"":[{""text"":""UGR"",""indices"":[[3,7]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""AytoPinosPuente"",""name"":""Ayto Pinos Puente"",""id"":312152009,""id_str"":""312152009"",""indices"":{""start"":12,""end"":28}},{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":44,""end"":54}}],""urls"":[{""url"":""https://t.co/YoVgsl1ol2"",""expanded_url"":""https://canal.ugr.es/noticia/la-ugr-el-ayuntamiento-de-pinos-puente-y-fundacion-iberdrola-crean-una-catedra-para-la-investigacion-arqueologica-del-cerro-de-los-infantes/"",""display_url"":""canal.ugr.es/noticia/la-ugr…"",""indices"":{""start"":135,""end"":158}}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""es"",""result_type"":""recent""}]";"iPhone";;;;;;;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"es";"FALSE";;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"La #UGR, el @AytoPinosPuente y la Fundación @iberdrola crean una cátedra para la investigación arqueológica del Cerro de los Infantes

https://t.co/YoVgsl1ol2";;;;;;;;;;;;;;;"144804999";"144804999";"Universidad Granada";"CanalUGR";"Granada, España";"Twitter oficial de la Universidad de Granada. Una de las universidades de mayor prestigio europeo, fundada en 1531 y con 70.000 estudiantes.";"https://t.co/dIh7OaVzGC";"FALSE";"140582";"85349";"1321";"Mon May 17 10:25:19 +0000 2010";"4098";"TRUE";"40825";"https://pbs.twimg.com/profile_images/1543878129353166851/5Mlot8pN_normal.jpg";"https://pbs.twimg.com/profile_banners/144804999/1656924205";"FALSE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""url"":""https://t.co/dIh7OaVzGC"",""expanded_url"":""http://www.ugr.es"",""display_url"":""ugr.es"",""indices"":{""start"":0,""end"":23}}]}";"https://twitter.com/CanalUGR/status/1545364525553258498";;;"1e+05"
"9";"2022-07-08 11:09:24";"1545364422796926976";"1545364422796926977";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo 📸🇪🇸";"FALSE";"60";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[41,56]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""und"",""result_type"":""recent""}]";"iPhone";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"und";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo 📸🇪🇸";;;;;;;;;;;;;;;"1342041632";"1342041632";"Patri Rodríguez";"patrirogravan";"Puerto Santa Maria - Sevilla ";"Te cuento todo por mi Tik Tok (+14K) | https://t.co/b2T4ASLV5H";;"FALSE";"1287";"1371";"5";"Wed Apr 10 14:24:03 +0000 2013";"15535";"FALSE";"20897";"https://pbs.twimg.com/profile_images/1541549423628541957/1dMkHucA_normal.jpg";"https://pbs.twimg.com/profile_banners/1342041632/1599137773";"FALSE";"FALSE";"[]";;;"{""description"":[{""url"":""https://t.co/b2T4ASLV5H"",""expanded_url"":""https://vm.tiktok.com/ZMLcYqr6R/"",""display_url"":""vm.tiktok.com/ZMLcYqr6R/"",""indices"":{""start"":39,""end"":62}}],""url"":[{""indices"":[null],""unwound"":[null]}]}";"https://twitter.com/patrirogravan/status/1545364422796926977";;;"1e+05"
"10";"2022-07-08 11:09:18";"1545364399417966592";"1545364399417966596";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo es que pere marque";"FALSE";"75";"{""hashtags"":[{""text"":""ElSueñoEuropeo"",""indices"":[[41,56]]}],""symbols"":[{""indices"":[null]}],""user_mentions"":[{""screen_name"":""iberdrola"",""name"":""Iberdrola"",""id"":281475728,""id_str"":""281475728"",""indices"":{""start"":0,""end"":10}},{""screen_name"":""SEFutbolFem"",""name"":""Selección Española Femenina de Fútbol"",""id"":1.00111841604705e+18,""id_str"":""1001118416047046657"",""indices"":{""start"":11,""end"":23}},{""screen_name"":""FutFemIberdrola"",""name"":""FutFem Iberdrola"",""id"":7.68077752994001e+17,""id_str"":""768077752994000897"",""indices"":{""start"":24,""end"":40}}],""urls"":[{""indices"":[null],""unwound"":[null]}],""media"":[{""indices"":[null],""sizes"":[null]}]}";"[{""iso_language_code"":""es"",""result_type"":""recent""}]";"Web App";"1545363973117198336";"1545363973117198338";"281475728";"281475728";"iberdrola";;"[{}]";"[{""geo"":{},""coordinates"":{},""place"":{""contained_within"":{},""attributes"":{},""bounding_box"":[{}]}}]";;"FALSE";"0";"0";"FALSE";"FALSE";"es";;;;"[{""display_text_range"":{},""entities"":{""hashtags"":{},""symbols"":{},""user_mentions"":{},""urls"":{},""media"":{}},""extended_entities"":{""media"":{}},""metadata"":{},""user"":{""entities"":{""url"":{""urls"":{}},""description"":{""urls"":{}}},""withheld_in_countries"":{}}}]";"@iberdrola @SEFutbolFem @FutFemIberdrola #ElSueñoEuropeo es que pere marque";;;;;;;;;;;;;;;"2205382524";"2205382524";"MrsMeeer";"mrsmeeer";"Genovia";"Pelirroja de corazón, fangirl a tiempo parcial, spoileadora con patas y una de las mamás de Lola. Y siempre con caldo en la nevera.

💩";;"FALSE";"2884";"843";"12";"Wed Nov 20 18:28:30 +0000 2013";"64586";"FALSE";"85810";"https://pbs.twimg.com/profile_images/595523234658918400/qD8O0F8c_normal.jpg";"https://pbs.twimg.com/profile_banners/2205382524/1653224833";"FALSE";"FALSE";"[]";;;"{""description"":[{""indices"":[null],""unwound"":[null]}],""url"":[{""indices"":[null],""unwound"":[null]}]}";"https://twitter.com/mrsmeeer/status/1545364399417966596";;;"1e+05"
